SampleID	FamilyID	Population	Gender
HG00445	SH015	CHS	male
HG00446	SH015	CHS	female
HG00448	SH016	CHS	male
HG00449	SH016	CHS	female
HG00451	SH017	CHS	male
HG00452	SH017	CHS	female
HG00457	SH019	CHS	male
HG00458	SH019	CHS	female
HG00463	SH021	CHS	male
HG00464	SH021	CHS	female
HG00472	SH024	CHS	male
HG00473	SH024	CHS	female
HG00475	SH025	CHS	male
HG00476	SH025	CHS	female
HG00478	SH026	CHS	male
HG00479	SH026	CHS	female
HG00500	SH028	CHS	male
HG00513	SH032	CHS	female
HG00524	SH036	CHS	male
HG00525	SH036	CHS	female
HG00530	SH038	CHS	male
HG00531	SH038	CHS	female
HG00533	SH039	CHS	male
HG00534	SH039	CHS	female
HG00536	SH040	CHS	male
HG00537	SH040	CHS	female
HG00542	SH042	CHS	male
HG00543	SH042	CHS	female
HG00551	PR01	PUR	female
HG00553	PR02	PUR	male
HG00554	PR02	PUR	female
HG00556	SH045	CHS	male
HG00557	SH045	CHS	female
HG00559	SH046	CHS	male
HG00560	SH046	CHS	female
HG00565	SH048	CHS	male
HG00566	SH048	CHS	female
HG00580	SH053	CHS	male
HG00581	SH053	CHS	female
HG00583	SH054	CHS	male
HG00584	SH054	CHS	female
HG00589	SH056	CHS	male
HG00590	SH056	CHS	female
HG00592	SH057	CHS	male
HG00593	SH057	CHS	female
HG00595	SH058	CHS	male
HG00596	SH058	CHS	female
HG00598	SH059	CHS	male
HG00599	SH059	CHS	female
HG00607	SH062	CHS	male
HG00608	SH062	CHS	female
HG00610	SH063	CHS	male
HG00611	SH063	CHS	female
HG00613	SH064	CHS	male
HG00614	SH064	CHS	female
HG00619	SH066	CHS	male
HG00620	SH066	CHS	female
HG00622	SH067	CHS	male
HG00623	SH067	CHS	female
HG00625	SH068	CHS	male
HG00626	SH068	CHS	female
HG00628	SH069	CHS	male
HG00629	SH069	CHS	female
HG00631	SH070	CHS	male
HG00632	SH070	CHS	female
HG00634	SH071	CHS	male
HG00637	PR03	PUR	male
HG00638	PR03	PUR	female
HG00640	PR04	PUR	male
HG00641	PR04	PUR	female
HG00650	SH072	CHS	male
HG00651	SH072	CHS	female
HG00653	SH073	CHS	male
HG00654	SH073	CHS	female
HG00656	SH074	CHS	male
HG00657	SH074	CHS	female
HG00662	SH076	CHS	male
HG00663	SH076	CHS	female
HG00671	SH079	CHS	male
HG00672	SH079	CHS	female
HG00674	SH080	CHS	male
HG00675	SH080	CHS	female
HG00683	SH083	CHS	male
HG00684	SH083	CHS	female
HG00689	SH085	CHS	male
HG00690	SH085	CHS	female
HG00692	SH086	CHS	male
HG00693	SH086	CHS	female
HG00698	SH088	CHS	male
HG00699	SH088	CHS	female
HG00701	SH089	CHS	male
HG00704	SH090	CHS	male
HG00705	SH090	CHS	female
HG00707	SH091	CHS	male
HG00708	SH091	CHS	female
HG00717	SH094	CHS	female
HG00728	SH098	CHS	male
HG00729	SH098	CHS	female
HG00731	PR05	PUR	male
HG00732	PR05	PUR	female
HG00734	PR06	PUR	female
HG00736	PR07	PUR	male
HG00737	PR07	PUR	female
HG00739	PR09	PUR	male
HG00740	PR09	PUR	female
HG00742	PR10	PUR	male
HG00743	PR10	PUR	female
HG00759	HG00759	CDX	female
HG00766	HG00766	CDX	female
HG00844	HG00844	CDX	male
HG00851	HG00851	CDX	female
HG00864	HG00864	CDX	female
HG00867	CDX1	CDX	female
HG00879	HG00879	CDX	female
HG00881	HG00881	CDX	male
HG00956	HG00956	CDX	female
HG00978	HG00978	CDX	female
HG00982	HG00982	CDX	male
HG01028	HG01028	CDX	male
HG01029	HG01029	CDX	female
HG01031	HG01031	CDX	male
HG01046	HG01046	CDX	female
HG01047	PR06	PUR	male
HG01048	PR08	PUR	male
HG01049	PR08	PUR	female
HG01051	PR11	PUR	male
HG01052	PR11	PUR	female
HG01054	PR12	PUR	male
HG01055	PR12	PUR	female
HG01058	PR13	PUR	female
HG01060	PR14	PUR	male
HG01061	PR14	PUR	female
HG01063	PR15	PUR	male
HG01064	PR15	PUR	female
HG01066	PR16	PUR	male
HG01067	PR16	PUR	female
HG01069	PR17	PUR	male
HG01070	PR17	PUR	female
HG01072	PR18	PUR	male
HG01073	PR18	PUR	female
HG01075	PR01	PUR	male
HG01077	PR20	PUR	female
HG01079	PR21	PUR	male
HG01080	PR21	PUR	female
HG01082	PR28	PUR	male
HG01083	PR28	PUR	female
HG01085	PR26	PUR	male
HG01086	PR26	PUR	female
HG01088	PR27	PUR	male
HG01089	PR27	PUR	female
HG01092	PR30	PUR	female
HG01094	PR29	PUR	male
HG01095	PR29	PUR	female
HG01097	PR31	PUR	male
HG01098	PR31	PUR	female
HG01101	PR19	PUR	male
HG01102	PR19	PUR	female
HG01104	PR25	PUR	male
HG01105	PR25	PUR	female
HG01107	PR33	PUR	male
HG01108	PR33	PUR	female
HG01110	PR34	PUR	male
HG01111	PR34	PUR	female
HG01112	CLM03	CLM	male
HG01113	CLM03	CLM	female
HG01119	CLM01	CLM	female
HG01121	CLM02	CLM	male
HG01122	CLM02	CLM	female
HG01124	CLM04	CLM	male
HG01125	CLM04	CLM	female
HG01130	CLM06	CLM	male
HG01131	CLM06	CLM	female
HG01133	CLM07	CLM	male
HG01134	CLM07	CLM	female
HG01136	CLM08	CLM	male
HG01137	CLM08	CLM	female
HG01139	CLM09	CLM	male
HG01140	CLM09	CLM	female
HG01142	CLM10	CLM	male
HG01148	CLM12	CLM	male
HG01149	CLM12	CLM	female
HG01161	PR35	PUR	male
HG01162	PR35	PUR	female
HG01164	PR37	PUR	male
HG01167	PR39	PUR	male
HG01168	PR39	PUR	female
HG01170	PR24	PUR	male
HG01171	PR24	PUR	female
HG01173	PR36	PUR	male
HG01174	PR36	PUR	female
HG01176	PR42	PUR	male
HG01177	PR42	PUR	female
HG01182	PR44	PUR	male
HG01183	PR44	PUR	female
HG01187	PR38	PUR	male
HG01188	PR38	PUR	female
HG01190	PR40	PUR	male
HG01191	PR40	PUR	female
HG01197	PR46	PUR	male
HG01198	PR46	PUR	female
HG01200	PR47	PUR	male
HG01204	PR49	PUR	male
HG01205	PR49	PUR	female
HG01241	PR22	PUR	male
HG01242	PR22	PUR	female
HG01247	PR32	PUR	male
HG01248	PR32	PUR	female
HG01250	CLM14	CLM	male
HG01251	CLM14	CLM	female
HG01253	CLM15	CLM	male
HG01254	CLM15	CLM	female
HG01256	CLM16	CLM	male
HG01257	CLM16	CLM	female
HG01259	CLM17	CLM	male
HG01260	CLM17	CLM	female
HG01269	CLM20	CLM	female
HG01271	CLM21	CLM	male
HG01272	CLM21	CLM	female
HG01275	CLM22	CLM	female
HG01277	CLM23	CLM	male
HG01280	CLM24	CLM	male
HG01281	CLM24	CLM	female
HG01284	CLM25	CLM	female
HG01286	PR58	PUR	male
HG01302	PR59	PUR	male
HG01303	PR59	PUR	female
HG01305	PR61	PUR	male
HG01308	PR62	PUR	male
HG01311	PR63	PUR	male
HG01312	PR63	PUR	female
HG01323	PR67	PUR	female
HG01325	PR68	PUR	male
HG01326	PR68	PUR	female
HG01334	HG01334	GBR	male
HG01341	CLM26	CLM	male
HG01342	CLM26	CLM	female
HG01344	CLM27	CLM	male
HG01345	CLM27	CLM	female
HG01348	CLM28	CLM	female
HG01350	CLM29	CLM	male
HG01351	CLM29	CLM	female
HG01353	CLM30	CLM	male
HG01354	CLM30	CLM	female
HG01356	CLM31	CLM	male
HG01357	CLM31	CLM	female
HG01359	CLM32	CLM	male
HG01360	CLM32	CLM	female
HG01362	CLM33	CLM	male
HG01363	CLM33	CLM	female
HG01365	CLM34	CLM	male
HG01366	CLM34	CLM	female
HG01369	CLM35	CLM	female
HG01372	CLM36	CLM	female
HG01374	CLM37	CLM	male
HG01375	CLM37	CLM	female
HG01377	CLM38	CLM	male
HG01378	CLM38	CLM	female
HG01383	CLM40	CLM	male
